productID,productName,productPrice,productQuantity,productDescription,productFavoriteNum,productClickNum,productComments
1,product_A,30,8,This is the description of product A,0,0,
2,product_B,22,20,This is the description of product B,0,0,
3,product_C,30,37,This is the description of product C,0,0,
4,product_D,22,20,This is the description of product D,0,0,
5,product_E,17,7,This is the description of product E,0,0,
6,product_F,21,22,This is the description of product F,0,0,
7,product_G,20,32,This is the description of product G,0,0,
8,product_H,29,22,This is the description of product H,0,0,
9,product_I,28,3,This is the description of product I,0,0,
10,product_J,30,1,This is the description of product J,0,0,
11,product_K,17,22,This is the description of product K,0,0,
12,product_L,27,18,This is the description of product L,0,0,
13,product_M,18,2,This is the description of product M,0,0,
14,product_N,5,10,This is the description of product N,0,0,
15,product_O,9,39,This is the description of product O,0,0,
16,product_P,18,8,This is the description of product P,0,0,
17,product_Q,21,33,This is the description of product Q,0,0,
18,product_R,12,23,This is the description of product R,0,0,
19,product_S,18,38,This is the description of product S,0,0,
20,product_T,16,1,This is the description of product T,0,0,
